Name,Gender,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Nathan Crosswell,Male,21,44.38,25.52,4.1,1.05,5.14,7.48,2.1,0.05,0.0,2.38,0.0,4.38,9.95,21.1,0.472,9.0,18.1,0.497,0.95,3.0,0.317,6.57,8.05,0.816
Nathan Sellwood,Male,27,44.56,27.7,4.48,1.96,6.44,4.93,2.07,0.04,0.0,1.56,0.0,3.41,12.04,29.07,0.414,9.7,22.81,0.425,2.33,6.26,0.372,5.96,7.89,0.755
Nathan Taylor,Male,12,44.0,16.58,6.92,2.25,9.17,1.92,0.5,0.67,0.0,3.0,0.0,2.92,6.0,13.0,0.462,4.42,8.08,0.547,1.58,4.92,0.321,3.0,4.17,0.719
Nicole Pavic,Female,19,43.63,30.37,11.37,5.42,16.79,2.42,2.0,2.84,0.0,2.74,0.0,3.11,12.32,34.16,0.361,11.26,30.84,0.365,1.05,3.32,0.316,6.79,10.47,0.649
Patrick Jennings,Male,10,42.3,12.5,3.9,1.5,5.4,2.9,1.6,0.1,0.0,2.6,0.0,2.8,4.1,12.5,0.328,2.5,5.4,0.463,1.6,7.1,0.225,2.7,4.5,0.6
Paul Fridman,Male,21,45.57,14.81,4.33,1.14,5.48,9.38,4.33,0.29,0.0,3.33,0.0,6.81,7.43,24.52,0.303,4.86,15.0,0.324,2.57,9.52,0.27,2.52,3.52,0.716
Peter Leimonitis,Male,18,41.89,25.78,5.67,2.56,8.22,4.22,2.39,0.67,0.0,3.5,0.0,6.06,12.61,28.44,0.443,9.22,20.33,0.454,3.39,8.11,0.418,3.94,4.67,0.844
Sam Belt,Male,22,44.32,27.18,8.86,3.0,11.86,3.32,1.09,0.77,0.95,2.27,4.14,2.82,8.73,21.64,0.403,3.86,8.36,0.462,4.86,13.27,0.366,4.86,6.82,0.713
Scott Dixon,Male,17,43.0,18.53,6.29,3.29,9.59,2.47,1.59,0.76,0.0,2.71,0.0,3.53,6.18,15.71,0.393,3.82,9.24,0.413,2.35,6.47,0.363,3.82,6.18,0.618
Scott Roberts,Male,50,42.26,19.74,9.0,3.46,12.46,2.5,0.98,2.58,0.0,3.66,0.0,3.64,7.86,16.12,0.488,7.64,15.44,0.495,0.22,0.68,0.324,3.96,5.9,0.671
Sean Mccall,Male,2,45.0,30.5,9.0,4.5,13.5,2.0,3.5,1.5,0.0,3.5,0.0,6.0,11.0,25.0,0.44,9.5,18.0,0.528,1.5,7.0,0.214,7.0,11.5,0.609
Sharon Fedke,Female,23,43.0,23.87,8.74,1.83,10.57,1.52,2.61,1.35,0.0,3.3,0.0,2.91,11.17,32.39,0.345,9.61,26.17,0.367,1.57,6.22,0.252,3.09,4.0,0.772
Shaun Bruce,Male,23,42.48,27.48,5.17,1.83,7.0,4.7,1.48,0.57,0.39,3.22,4.61,3.13,10.78,24.91,0.433,9.3,19.13,0.486,1.48,5.78,0.256,4.43,6.22,0.712
Taylor Bell,Male,5,41.8,28.8,7.6,1.4,9.0,1.0,0.6,1.6,0.0,4.0,0.0,4.2,10.2,20.0,0.51,6.8,14.0,0.486,3.4,6.0,0.567,5.0,10.0,0.5
Terrence Watkins,Male,24,42.54,25.92,9.46,3.75,13.21,2.21,1.42,0.96,0.0,2.67,0.0,3.42,12.62,25.29,0.499,10.08,20.38,0.495,2.54,4.92,0.516,3.92,5.25,0.747
Thomas Burns,Male,59,43.58,22.17,5.61,1.73,7.34,5.85,2.32,0.41,0.0,2.92,0.0,5.0,7.76,19.17,0.405,6.44,14.53,0.443,1.32,4.64,0.284,6.0,8.76,0.685
Tim Ireland,Male,2,42.0,14.0,3.0,0.5,3.5,3.5,2.0,0.5,0.0,3.5,0.0,4.5,4.5,13.5,0.333,4.5,11.5,0.391,0.0,2.0,0.0,5.0,8.0,0.625
Tim Pickert,Male,24,42.38,22.29,2.96,1.67,4.62,3.21,1.54,0.21,0.5,2.67,4.75,3.17,7.46,18.33,0.407,4.88,10.12,0.482,2.58,8.21,0.314,4.79,6.38,0.751
Timothy Gainey,Male,35,45.17,21.51,8.06,3.54,11.6,2.11,1.31,1.91,0.91,3.49,4.57,4.23,7.74,19.83,0.39,5.57,13.06,0.426,2.17,6.77,0.321,3.86,5.14,0.751
Tommy Walsh,Male,23,42.3,18.48,3.09,2.13,5.22,2.17,1.3,0.22,0.48,2.83,2.13,2.43,7.0,18.57,0.377,4.39,10.39,0.423,2.61,8.17,0.319,1.87,2.83,0.661
Tony Burke,Male,18,41.83,22.39,4.78,2.78,7.56,2.56,0.56,0.5,0.5,3.89,3.39,3.06,8.89,22.61,0.393,7.83,17.5,0.447,1.06,5.11,0.207,3.56,5.33,0.668
Tracy Tuesley,Female,2,43.5,12.5,10.5,9.5,20.0,0.0,4.0,0.5,0.0,4.5,0.0,9.0,6.0,15.0,0.4,6.0,14.5,0.414,0.0,0.5,0.0,0.5,2.0,0.25
Travis Banko,Male,20,44.7,25.2,3.9,1.7,5.6,4.6,2.35,0.1,0.0,2.8,0.0,7.3,10.4,25.1,0.414,9.1,20.5,0.444,1.3,4.6,0.283,5.7,7.7,0.74
Vashon Weaver,Male,76,43.53,22.97,5.99,2.47,8.46,4.95,1.58,0.51,0.13,3.37,1.42,5.25,8.62,20.84,0.414,7.64,16.7,0.457,0.97,4.14,0.234,5.08,7.61,0.668
Warren Estcourt,Male,1,45.0,3.0,8.0,0.0,8.0,7.0,0.0,0.0,0.0,3.0,0.0,2.0,12.0,32.0,0.375,2.0,9.0,0.222,10.0,23.0,0.435,5.0,6.0,0.833
Willie Weimer,Male,24,42.12,16.96,4.33,1.79,6.12,3.79,1.17,0.21,0.0,3.54,0.0,4.5,6.33,16.5,0.384,4.12,9.79,0.421,2.21,6.71,0.329,2.08,3.21,0.648
