Name,Club Name,Competition Name,Equivalent Competition,Level,Gender,Season,Factor,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Patrick Jennings,Bendigo,YL1M 2007,Victorian Youth Championship Men,Youth,Male,2007,0.833333333,10,35.25,10.42,3.25,1.25,4.5,2.42,1.33,0.08,0.0,2.17,0.0,2.33,3.42,10.42,0.328,2.08,4.5,0.462,1.33,5.92,0.225,2.25,3.75,0.6
John Morris,Warrnambool,SCM 2008,Championship Men,Senior,Male,2008,0.833333333,16,35.21,18.18,6.15,1.15,7.29,1.67,0.68,0.31,0.62,2.76,3.12,3.91,6.72,17.55,0.383,4.22,9.43,0.448,2.5,8.12,0.308,2.24,3.8,0.589
Amanda Fenwick,Echuca,VBL Division 1 - Women,Division 2 Women,Senior,Female,2002,0.833333333,19,35.13,9.12,6.23,2.85,9.08,1.93,2.63,0.83,0.0,2.46,0.0,2.63,3.95,10.61,0.372,3.9,10.48,0.372,0.04,0.13,0.308,1.27,3.73,0.34
Willie Weimer,Ringwood,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,24,35.1,14.13,3.61,1.49,5.1,3.16,0.97,0.17,0.0,2.95,0.0,3.75,5.28,13.75,0.384,3.44,8.16,0.422,1.84,5.59,0.329,1.74,2.67,0.652
Daryl Corletto,Melbourne,SCM 2006,Championship Men,Senior,Male,2006,0.833333333,16,35.05,19.69,4.01,0.68,4.69,3.44,0.99,0.05,0.0,1.3,0.0,2.03,7.29,17.97,0.406,4.58,9.53,0.481,2.71,8.44,0.321,2.4,3.33,0.721
Michelle Betson,Sunbury,VBL Premier - Women,Division 1 Women,Senior,Female,2002,0.833333333,20,35.04,14.04,4.12,1.87,6.0,1.96,2.12,0.08,0.0,3.54,0.0,3.83,5.37,15.25,0.352,4.75,12.08,0.393,0.62,3.17,0.196,3.92,6.37,0.615
Jonathon Lee,Bulleen,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,24,35.03,13.16,2.92,0.83,3.75,4.24,2.26,0.1,0.0,2.26,0.0,3.82,5.03,13.54,0.371,4.37,10.9,0.401,0.66,2.64,0.25,2.43,3.99,0.609
Luke Goldstein,Maccabi,VBL Division 1 - Men,Division 2 Men,Senior,Male,2002,0.833333333,1,35.0,21.67,11.67,2.5,14.17,1.67,0.0,0.0,0.0,5.0,0.0,3.33,8.33,15.83,0.526,8.33,15.83,0.526,0.0,0.0,,5.0,10.0,0.5
Josh Smith,Bulleen,Division One Men,Division 1 Men,Senior,Male,2006,0.833333333,22,35.0,21.55,4.36,1.4,5.76,3.07,1.33,0.08,0.0,2.05,0.0,3.64,7.05,19.43,0.363,4.7,10.91,0.431,2.35,8.52,0.276,5.11,7.27,0.703
Tim Ireland,Hume City,Youth League 2 Men,Youth League 1 Men,Youth,Male,2006,0.833333333,2,35.0,11.67,2.5,0.42,2.92,2.92,1.67,0.42,0.0,2.92,0.0,3.75,3.75,11.25,0.333,3.75,9.58,0.391,0.0,1.67,0.0,4.17,6.67,0.625
Harry White,Oakleigh,Division Two Men,Division 2 Men,Senior,Male,2015,1.0,1,42.0,3.0,2.0,3.0,5.0,1.0,2.0,0.0,0.0,5.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,3.0,4.0,0.75
Peter Leimonitis,Coburg,VBL Division One Men (Reserve),Youth League 1 Men,Youth,Male,2004,0.833333333,18,34.91,21.48,4.72,2.13,6.85,3.52,1.99,0.56,0.0,2.92,0.0,5.05,10.51,23.7,0.443,7.69,16.94,0.454,2.82,6.76,0.417,3.29,3.89,0.846
Craig Jarvis,Craigieburn,VBL Premier Men,Division 1 Men,Senior,Male,2003,0.833333333,18,34.91,18.52,4.17,3.52,7.69,2.55,0.93,0.23,0.0,2.82,0.0,3.29,7.45,18.33,0.406,6.99,16.76,0.417,0.46,1.57,0.293,4.07,6.62,0.615
Brett Rainbow,Ringwood,SCM 2006,Championship Men,Senior,Male,2006,0.833333333,8,34.9,16.35,3.75,0.73,4.48,1.67,0.94,0.42,0.0,1.25,0.0,2.08,5.73,13.75,0.417,2.71,4.9,0.553,3.02,8.85,0.341,1.87,2.5,0.748
Tony Burke,Darebin,D2M 2008,Division 2 Men,Senior,Male,2008,0.833333333,18,34.86,18.66,3.98,2.31,6.3,2.13,0.46,0.42,0.42,3.24,2.82,2.55,7.41,18.84,0.393,6.53,14.58,0.448,0.88,4.26,0.207,2.96,4.44,0.667
Scott Roberts,Shepparton,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,24,34.86,18.02,6.77,3.09,9.86,2.15,0.73,0.8,0.0,3.26,0.0,3.23,7.19,14.2,0.506,6.94,13.61,0.51,0.24,0.59,0.407,3.4,4.83,0.704
